"Frequency (Hz)","|Z| (Ohm)","theta (deg)"
+1.50425000000e+005, +1.23929958781e+003, +2.09153338758e+001
+1.50500000000e+005, +1.30659487963e+003, +1.69157309534e+001
+1.50575000000e+005, +1.37131024038e+003, +1.25965235391e+001
+1.50650000000e+005, +1.43113232486e+003, +7.98354194793e+000
+1.50725000000e+005, +1.48330118582e+003, +3.11810377345e+000
+1.50800000000e+005, +1.52552358767e+003, -1.93930419808e+000
+1.50875000000e+005, +1.55562766861e+003, -7.11046539139e+000
+1.50950000000e+005, +1.57248310279e+003, -1.23043068123e+001
+1.51025000000e+005, +1.57572704564e+003, -1.74348516371e+001
+1.51100000000e+005, +1.56626398773e+003, -2.24127815486e+001
+1.51175000000e+005, +1.54561665021e+003, -2.71723578134e+001
+1.51250000000e+005, +1.51581315554e+003, -3.16608945906e+001
+1.51325000000e+005, +1.47913317726e+003, -3.58432919518e+001
+1.51400000000e+005, +1.43775077767e+003, -3.97123835547e+001
+1.51475000000e+005, +1.39355260253e+003, -4.32630329252e+001
+1.51550000000e+005, +1.34810640522e+003, -4.65087029043e+001
+1.51625000000e+005, +1.30254040085e+003, -4.94643263038e+001
+1.51700000000e+005, +1.25777965565e+003, -5.21516389351e+001
+1.51775000000e+005, +1.21436223143e+003, -5.45961658811e+001
+1.51850000000e+005, +1.17271636825e+003, -5.68147299232e+001
+1.51925000000e+005, +1.13300665573e+003, -5.88360439649e+001
+1.52000000000e+005, +1.09536277618e+003, -6.06753595511e+001
+1.52075000000e+005, +1.05983879084e+003, -6.23536223014e+001
+1.52150000000e+005, +1.02632044700e+003, -6.38884315174e+001
+1.52225000000e+005, +9.94812226744e+002, -6.52922184661e+001
+1.52300000000e+005, +9.65186305573e+002, -6.65809730557e+001
+1.52375000000e+005, +9.37333036821e+002, -6.77661010515e+001
+1.52450000000e+005, +9.11160377578e+002, -6.88574131581e+001
+1.52525000000e+005, +8.86548165744e+002, -6.98651411710e+001
+1.52600000000e+005, +8.63410433158e+002, -7.07956850452e+001
+1.52675000000e+005, +8.41600339545e+002, -7.16587985682e+001
+1.52750000000e+005, +8.21066111093e+002, -7.24606795141e+001
+1.52825000000e+005, +8.01709491975e+002, -7.32064873334e+001
+1.52900000000e+005, +7.83426840085e+002, -7.39011409714e+001
+1.52975000000e+005, +7.66145965836e+002, -7.45488759792e+001
+1.53050000000e+005, +7.49794243095e+002, -7.51550173466e+001
+1.53125000000e+005, +7.34308415288e+002, -7.57235024610e+001
+1.53200000000e+005, +7.19620437569e+002, -7.62557347129e+001
+1.53275000000e+005, +7.05684037277e+002, -7.67567141531e+001
+1.53350000000e+005, +6.92451816464e+002, -7.72267808588e+001
+1.53425000000e+005, +6.79850312970e+002, -7.76699017476e+001
+1.53500000000e+005, +6.67865681711e+002, -7.80873697160e+001
+1.53575000000e+005, +6.56424284630e+002, -7.84823879293e+001
+1.53650000000e+005, +6.45535692327e+002, -7.88543426487e+001
+1.53725000000e+005, +6.35138296560e+002, -7.92072807647e+001
+1.53800000000e+005, +6.25173447783e+002, -7.95409225081e+001
+1.53875000000e+005, +6.15653486343e+002, -7.98580301669e+001
+1.53950000000e+005, +6.06541324777e+002, -8.01585118125e+001
+1.54025000000e+005, +5.97809533796e+002, -8.04442477285e+001
+1.54100000000e+005, +5.89433606202e+002, -8.07160677367e+001
+1.54175000000e+005, +5.81398392167e+002, -8.09749623801e+001
+1.54250000000e+005, +5.73671897912e+002, -8.12214259146e+001
+1.54325000000e+005, +5.66250713124e+002, -8.14561371337e+001
+1.54400000000e+005, +5.59103662842e+002, -8.16797964348e+001
+1.54475000000e+005, +5.52226073967e+002, -8.18936959673e+001
+1.54550000000e+005, +5.45590354773e+002, -8.20977311326e+001
+1.54625000000e+005, +5.39194825021e+002, -8.22928670318e+001
+1.54700000000e+005, +5.33026816625e+002, -8.24796923528e+001
+1.54775000000e+005, +5.27062114074e+002, -8.26583168055e+001
+1.54850000000e+005, +5.21317097891e+002, -8.28284206974e+001
+1.54925000000e+005, +5.15746651747e+002, -8.29916408290e+001
+1.55000000000e+005, +5.10363805918e+002, -8.31471591747e+001
